,starts_times,end_times,latencies,t
0,28.05226993560791,28.05231523513794,4.5299530029296875e-05,28.05231523513794
1,30.682705879211426,30.70252227783203,0.01981639862060547,30.70252227783203
2,32.558488845825195,32.55861139297485,0.00012254714965820312,32.55861139297485
3,34.62081027030945,34.62355089187622,0.002740621566772461,34.62355089187622
4,35.92697310447693,35.92857217788696,0.0015990734100341797,35.92857217788696
5,38.09067106246948,38.090728998184204,5.793571472167969e-05,38.090728998184204
6,41.0617458820343,41.06812644004822,0.006380558013916016,41.06812644004822
7,43.44733691215515,43.44918751716614,0.0018506050109863281,43.44918751716614
8,45.647379875183105,45.647541761398315,0.00016188621520996094,45.647541761398315
9,46.94394016265869,46.945000410079956,0.0010602474212646484,46.945000410079956
10,47.97637057304382,47.980117321014404,0.0037467479705810547,47.980117321014404
11,49.462615966796875,49.462769508361816,0.00015354156494140625,49.462769508361816
12,51.73143720626831,51.73159193992615,0.00015473365783691406,51.73159193992615
13,54.410247564315796,54.45959162712097,0.04934406280517578,54.45959162712097
14,56.666173458099365,56.66632270812988,0.00014925003051757812,56.66632270812988
15,59.0861611366272,59.09011125564575,0.0039501190185546875,59.09011125564575
16,63.48132610321045,63.48147964477539,0.00015354156494140625,63.48147964477539
