,starts_times,end_times,latencies,t
0,25.13102388381958,28.05235266685486,2.9213287830352783,28.05235266685486
1,28.069297313690186,30.702552318572998,2.6332550048828125,30.702552318572998
2,30.73083472251892,32.55865240097046,1.827817678451538,32.55865240097046
3,32.560160398483276,34.62357568740845,2.063415288925171,34.62357568740845
4,34.624595642089844,35.92859482765198,1.3039991855621338,35.92859482765198
5,35.92926836013794,38.09075212478638,2.1614837646484375,38.09075212478638
6,38.096556186676025,41.06814956665039,2.9715933799743652,41.06814956665039
7,41.07299852371216,43.449219942092896,2.3762214183807373,43.449219942092896
8,43.4575252532959,45.64760184288025,2.1900765895843506,45.64760184288025
9,45.651652574539185,46.94502401351929,1.2933714389801025,46.94502401351929
10,46.96441721916199,47.98014211654663,1.0157248973846436,47.98014211654663
11,47.98873472213745,49.46281123161316,1.474076509475708,49.46281123161316
12,49.46405220031738,51.73163318634033,2.267580986022949,51.73163318634033
13,51.73885726928711,54.459622621536255,2.7207653522491455,54.459622621536255
14,54.4898157119751,56.666438817977905,2.1766231060028076,56.666438817977905
15,56.668113470077515,59.090137243270874,2.4220237731933594,59.090137243270874
16,59.0967230796814,63.48152041435242,4.3847973346710205,63.48152041435242
